DATE,DTB3
4/1/1954,1.33
5/1/1954,1.28
6/1/1954,1.28
7/1/1954,1.31
8/1/1954,1.31
11/1/1954,1.33
12/1/1954,1.3
13/1/1954,1.3
14/1/1954,1.28
15/1/1954,1.2
18/1/1954,1.2
20/1/1954,1.16
21/1/1954,1.08
22/1/1954,1
25/1/1954,1
26/1/1954,1
27/1/1954,1.08
28/1/1954,0.96
29/1/1954,1.02
1/2/1954,1.04
2/2/1954,1
3/2/1954,1.02
4/2/1954,1.01
5/2/1954,0.9
8/2/1954,0.89
9/2/1954,0.88
10/2/1954,0.93
11/2/1954,0.94
15/2/1954,0.98
16/2/1954,0.98
17/2/1954,1.02
18/2/1954,0.97
19/2/1954,0.96
23/2/1954,0.95
24/2/1954,0.97
25/2/1954,1
26/2/1954,1
1/3/1954,1.03
2/3/1954,1.03
3/3/1954,1.05
4/3/1954,1.03
5/3/1954,1.02
8/3/1954,1.03
9/3/1954,1.03
10/3/1954,1.06
11/3/1954,1.05
12/3/1954,1.04
15/3/1954,1.04
16/3/1954,1.02
17/3/1954,1.01
18/3/1954,1.01
19/3/1954,1
22/3/1954,1
23/3/1954,1
24/3/1954,1.05
25/3/1954,1.07
26/3/1954,1.05
29/3/1954,1.05
30/3/1954,1.04
31/3/1954,1.03
1/4/1954,1.02
2/4/1954,1
5/4/1954,0.98
6/4/1954,0.97
7/4/1954,1
8/4/1954,1
9/4/1954,1.03
12/4/1954,1.04
13/4/1954,1.06
14/4/1954,1.04
15/4/1954,1.03
16/4/1954,1.03
19/4/1954,1.02
20/4/1954,1
21/4/1954,1
22/4/1954,0.98
23/4/1954,0.94
26/4/1954,0.85
27/4/1954,0.83
28/4/1954,0.82
29/4/1954,0.81
30/4/1954,0.81
3/5/1954,0.77
4/5/1954,0.72
5/5/1954,0.72
6/5/1954,0.75
7/5/1954,0.79
10/5/1954,0.8
11/5/1954,0.78
12/5/1954,0.82
13/5/1954,0.82
14/5/1954,0.8
17/5/1954,0.8
18/5/1954,0.81
19/5/1954,0.79
20/5/1954,0.78
21/5/1954,0.76
24/5/1954,0.73
25/5/1954,0.7
26/5/1954,0.7
27/5/1954,0.7
28/5/1954,0.72
1/6/1954,0.71
2/6/1954,0.71
3/6/1954,0.68
4/6/1954,0.66
7/6/1954,0.61
8/6/1954,0.61
9/6/1954,0.62
10/6/1954,0.61
11/6/1954,0.62
14/6/1954,0.64
15/6/1954,0.63
16/6/1954,0.63
17/6/1954,0.61
18/6/1954,0.63
21/6/1954,0.63
22/6/1954,0.61
23/6/1954,0.62
24/6/1954,0.62
25/6/1954,0.64
28/6/1954,0.64
29/6/1954,0.64
30/6/1954,0.64
1/7/1954,0.65
2/7/1954,0.66
6/7/1954,0.66
7/7/1954,0.65
8/7/1954,0.65
9/7/1954,0.67
12/7/1954,0.69
13/7/1954,0.7
14/7/1954,0.73
15/7/1954,0.75
16/7/1954,0.73
19/7/1954,0.73
20/7/1954,0.72
21/7/1954,0.74
22/7/1954,0.75
23/7/1954,0.77
26/7/1954,0.78
27/7/1954,0.77
28/7/1954,0.79
29/7/1954,0.79
30/7/1954,0.79
2/8/1954,0.78
3/8/1954,0.77
4/8/1954,0.79
5/8/1954,0.8
6/8/1954,0.83
9/8/1954,0.9
10/8/1954,0.88
11/8/1954,0.93
12/8/1954,0.93
13/8/1954,0.93
16/8/1954,0.91
17/8/1954,0.91
18/8/1954,0.92
19/8/1954,0.93
20/8/1954,0.94
23/8/1954,1
24/8/1954,1
25/8/1954,0.98
26/8/1954,0.99
27/8/1954,1
30/8/1954,1.04
31/8/1954,1.05
1/9/1954,1.03
2/9/1954,1.02
3/9/1954,1.02
7/9/1954,1.03
8/9/1954,1.02
9/9/1954,1.02
10/9/1954,1.02
13/9/1954,1.03
14/9/1954,1.04
15/9/1954,1.02
16/9/1954,1
17/9/1954,1
20/9/1954,0.98
21/9/1954,0.98
22/9/1954,0.99
23/9/1954,0.99
24/9/1954,0.99
27/9/1954,1
28/9/1954,0.99
29/9/1954,1
30/9/1954,0.99
1/10/1954,0.97
4/10/1954,0.96
5/10/1954,0.94
6/10/1954,0.94
7/10/1954,0.94
8/10/1954,0.94
11/10/1954,0.96
13/10/1954,0.98
14/10/1954,0.99
15/10/1954,1
18/10/1954,1
19/10/1954,0.99
20/10/1954,1.01
21/10/1954,1
22/10/1954,1
25/10/1954,1
26/10/1954,1
27/10/1954,1.01
28/10/1954,1.01
29/10/1954,1
1/11/1954,1
3/11/1954,1.01
4/11/1954,1.01
5/11/1954,0.97
8/11/1954,0.94
9/11/1954,0.87
10/11/1954,0.88
12/11/1954,0.9
15/11/1954,0.9
16/11/1954,0.89
17/11/1954,0.9
18/11/1954,0.88
19/11/1954,0.87
22/11/1954,0.87
23/11/1954,0.89
24/11/1954,0.93
26/11/1954,0.97
29/11/1954,1
30/11/1954,1.01
1/12/1954,1.03
2/12/1954,1.03
3/12/1954,1.03
6/12/1954,1.05
7/12/1954,1.06
8/12/1954,1.1
9/12/1954,1.11
10/12/1954,1.14
13/12/1954,1.26
14/12/1954,1.28
15/12/1954,1.23
16/12/1954,1.24
17/12/1954,1.25
20/12/1954,1.29
21/12/1954,1.26
22/12/1954,1.22
23/12/1954,1.2
24/12/1954,1.2
27/12/1954,1.15
28/12/1954,1.12
29/12/1954,1.08
30/12/1954,1.03
31/12/1954,1.02
3/1/1955,1.07
4/1/1955,1.07
5/1/1955,1.08
6/1/1955,1.1
7/1/1955,1.11
10/1/1955,1.2
11/1/1955,1.23
12/1/1955,1.28
13/1/1955,1.35
14/1/1955,1.36
17/1/1955,1.36
18/1/1955,1.33
20/1/1955,1.28
21/1/1955,1.29
24/1/1955,1.31
25/1/1955,1.3
26/1/1955,1.26
27/1/1955,1.2
28/1/1955,1.14
31/1/1955,1.12
1/2/1955,1.1
2/2/1955,1.12
3/2/1955,1.13
4/2/1955,1.08
7/2/1955,1.04
8/2/1955,1.03
9/2/1955,1.07
10/2/1955,1.07
11/2/1955,1.06
14/2/1955,1.1
15/2/1955,1.1
16/2/1955,1.17
17/2/1955,1.2
18/2/1955,1.23
21/2/1955,1.3
23/2/1955,1.35
24/2/1955,1.37
25/2/1955,1.37
28/2/1955,1.37
1/3/1955,1.36
2/3/1955,1.33
3/3/1955,1.24
4/3/1955,1.17
7/3/1955,1.2
8/3/1955,1.19
9/3/1955,1.25
10/3/1955,1.27
11/3/1955,1.24
14/3/1955,1.25
15/3/1955,1.23
16/3/1955,1.26
17/3/1955,1.28
18/3/1955,1.3
21/3/1955,1.32
22/3/1955,1.27
23/3/1955,1.31
24/3/1955,1.31
25/3/1955,1.29
28/3/1955,1.32
29/3/1955,1.33
30/3/1955,1.4
31/3/1955,1.41
1/4/1955,1.4
4/4/1955,1.43
5/4/1955,1.46
6/4/1955,1.52
7/4/1955,1.55
8/4/1955,1.55
11/4/1955,1.63
12/4/1955,1.62
13/4/1955,1.65
14/4/1955,1.62
15/4/1955,1.62
18/4/1955,1.64
19/4/1955,1.64
20/4/1955,1.65
21/4/1955,1.65
22/4/1955,1.65
25/4/1955,1.66
26/4/1955,1.62
27/4/1955,1.62
28/4/1955,1.63
29/4/1955,1.59
2/5/1955,1.61
3/5/1955,1.59
4/5/1955,1.54
5/5/1955,1.49
6/5/1955,1.51
9/5/1955,1.44
10/5/1955,1.39
11/5/1955,1.42
12/5/1955,1.44
13/5/1955,1.43
16/5/1955,1.41
17/5/1955,1.39
18/5/1955,1.41
19/5/1955,1.44
