DATE,DTB3
1/11/2002,1.41
4/11/2002,1.41
5/11/2002,1.4
6/11/2002,1.21
7/11/2002,1.2
8/11/2002,1.2
12/11/2002,1.2
13/11/2002,1.19
14/11/2002,1.2
15/11/2002,1.2
18/11/2002,1.21
19/11/2002,1.19
20/11/2002,1.2
21/11/2002,1.2
22/11/2002,1.21
25/11/2002,1.22
26/11/2002,1.2
27/11/2002,1.21
29/11/2002,1.2
2/12/2002,1.22
3/12/2002,1.21
4/12/2002,1.2
5/12/2002,1.2
6/12/2002,1.19
9/12/2002,1.21
10/12/2002,1.19
11/12/2002,1.19
12/12/2002,1.19
13/12/2002,1.19
16/12/2002,1.21
17/12/2002,1.2
18/12/2002,1.19
19/12/2002,1.19
20/12/2002,1.19
23/12/2002,1.17
24/12/2002,1.17
26/12/2002,1.16
27/12/2002,1.14
30/12/2002,1.2
31/12/2002,1.2
2/1/2003,1.2
3/1/2003,1.2
6/1/2003,1.19
7/1/2003,1.17
8/1/2003,1.17
9/1/2003,1.18
10/1/2003,1.18
13/1/2003,1.19
14/1/2003,1.17
15/1/2003,1.18
16/1/2003,1.16
17/1/2003,1.16
21/1/2003,1.17
22/1/2003,1.15
23/1/2003,1.15
24/1/2003,1.14
27/1/2003,1.15
28/1/2003,1.16
29/1/2003,1.16
30/1/2003,1.16
31/1/2003,1.16
3/2/2003,1.16
4/2/2003,1.14
5/2/2003,1.16
6/2/2003,1.15
7/2/2003,1.15
10/2/2003,1.15
11/2/2003,1.16
12/2/2003,1.16
13/2/2003,1.15
14/2/2003,1.16
18/2/2003,1.17
19/2/2003,1.16
20/2/2003,1.17
21/2/2003,1.17
24/2/2003,1.19
25/2/2003,1.18
26/2/2003,1.19
27/2/2003,1.19
28/2/2003,1.18
3/3/2003,1.18
4/3/2003,1.17
5/3/2003,1.16
6/3/2003,1.16
7/3/2003,1.1
10/3/2003,1.06
11/3/2003,1.08
12/3/2003,1.08
13/3/2003,1.1
14/3/2003,1.11
17/3/2003,1.13
18/3/2003,1.12
19/3/2003,1.14
20/3/2003,1.15
21/3/2003,1.16
24/3/2003,1.15
25/3/2003,1.16
26/3/2003,1.16
27/3/2003,1.14
28/3/2003,1.12
31/3/2003,1.12
1/4/2003,1.1
2/4/2003,1.11
3/4/2003,1.09
4/4/2003,1.09
7/4/2003,1.15
8/4/2003,1.13
9/4/2003,1.11
10/4/2003,1.12
11/4/2003,1.15
14/4/2003,1.18
15/4/2003,1.16
16/4/2003,1.15
17/4/2003,1.16
21/4/2003,1.16
