Dates,GOOGL UW Equity,MSFT UW Equity,AAPL UW Equity
2/10/2017,48.374,70.1074,36.494
3/10/2017,48.604,69.7785,36.653
4/10/2017,48.339,70.1826,36.416
5/10/2017,49.26,71.3853,36.869
6/10/2017,49.682,71.4135,36.847
9/10/2017,49.616,71.686,36.976
10/10/2017,49.39,71.686,36.99
11/10/2017,50.283,71.8082,37.144
12/10/2017,50.283,72.4659,37.014
13/10/2017,50.394,72.8136,37.248
16/10/2017,50.468,72.9639,37.934
17/10/2017,50.55,72.9075,38.074
18/10/2017,50.637,72.9263,37.906
19/10/2017,50.092,73.2082,37.009
20/10/2017,50.254,74.0539,37.073
23/10/2017,49.277,74.0727,37.054
24/10/2017,49.425,74.1009,37.275
25/10/2017,49.573,73.8848,37.111
26/10/2017,49.571,74.0069,37.348
27/10/2017,51.684,78.7522,38.686
30/10/2017,51.657,78.8273,39.557
31/10/2017,51.652,78.1602,40.108
1/11/2017,52.13,78.1602,39.597
2/11/2017,52.149,78.9777,39.887
3/11/2017,52.5,79.0623,40.928
6/11/2017,52.134,79.3723,41.344
7/11/2017,52.62,79.1844,41.477
8/11/2017,52.915,79.4569,41.816
9/11/2017,52.386,79.0153,41.73
10/11/2017,52.208,78.8086,41.592
13/11/2017,52.06,78.8649,41.426
14/11/2017,52.082,78.9777,40.799
15/11/2017,51.821,78.3638,40.261
16/11/2017,52.424,78.5716,40.742
17/11/2017,51.795,77.8161,40.516
20/11/2017,51.733,77.9389,40.476
21/11/2017,52.515,79.0627,41.228
22/11/2017,52.596,78.4866,41.661
23/11/2017,52.596,78.4866,41.661
24/11/2017,52.826,78.6283,41.664
27/11/2017,53.601,79.2043,41.454
28/11/2017,53.165,80.1582,41.211
29/11/2017,51.869,78.7038,40.356
30/11/2017,51.809,79.4876,40.921
1/12/2017,51.253,79.5726,40.73
4/12/2017,50.594,76.5695,40.433
5/12/2017,50.98,77.0512,40.395
6/12/2017,51.636,78.175,40.245
7/12/2017,52.229,77.9011,40.318
8/12/2017,52.469,79.4782,40.33
11/12/2017,52.599,80.4887,41.116
12/12/2017,52.439,80.8192,40.885
13/12/2017,52.57,80.602,41.021
14/12/2017,52.874,79.9787,41.009
15/12/2017,53.6,82.0186,41.426
18/12/2017,54.254,81.5747,42.009
19/12/2017,53.989,81.0553,41.561
20/12/2017,53.678,80.7625,41.516
21/12/2017,53.543,80.7437,41.673
22/12/2017,53.443,80.7531,41.673
25/12/2017,53.443,80.7531,41.673
26/12/2017,53.293,80.6492,40.616
27/12/2017,53.01,80.942,40.623
28/12/2017,52.798,80.9514,40.737
29/12/2017,52.67,80.7814,40.297
1/1/2018,52.67,80.7814,40.297
2/1/2018,53.661,81.1686,41.018
3/1/2018,54.576,81.5464,41.011
4/1/2018,54.788,82.2641,41.202
5/1/2018,55.515,83.284,41.671
8/1/2018,55.711,83.369,41.516
9/1/2018,55.64,83.3123,41.511
10/1/2018,55.507,82.9346,41.502
11/1/2018,55.603,83.1801,41.738
12/1/2018,56.533,84.6156,42.169
15/1/2018,56.533,84.6156,42.169
16/1/2018,56.535,83.4351,41.954
17/1/2018,56.955,85.1255,42.647
18/1/2018,56.799,85.0878,42.685
19/1/2018,57.175,84.9933,42.495
22/1/2018,58.208,86.5138,42.147
23/1/2018,58.809,86.7876,42.157
24/1/2018,58.564,86.7121,41.485
25/1/2018,59.107,87.1937,40.745
26/1/2018,59.378,88.8275,40.84
29/1/2018,59.324,88.6953,39.995
30/1/2018,58.869,87.5809,39.759
31/1/2018,59.111,89.7246,39.868
1/2/2018,59.079,89.0163,39.952
2/2/2018,55.96,86.6743,38.218
5/2/2018,53.12,83.1046,37.263
6/2/2018,54.222,86.2493,38.821
7/2/2018,52.771,84.625,37.99
8/2/2018,50.386,80.2809,36.944
9/2/2018,52.314,83.2746,37.396
12/2/2018,52.728,84.1717,38.902
13/2/2018,52.707,84.8328,39.292
14/2/2018,53.635,86.1611,40.017
15/2/2018,54.568,87.9164,41.36
16/2/2018,54.775,87.2902,41.226
19/2/2018,54.775,87.2902,41.226
20/2/2018,55.18,87.9733,41.088
21/2/2018,55.688,86.8063,40.901
22/2/2018,55.495,87.034,41.243
23/2/2018,56.405,89.2447,41.96
26/2/2018,57.185,90.5351,42.79
27/2/2018,55.876,89.3775,42.651
28/2/2018,55.196,88.9695,42.587
1/3/2018,53.571,88.0966,41.841
2/3/2018,54.207,88.2864,42.13
5/3/2018,54.738,88.8462,42.276
6/3/2018,55.045,88.5426,42.24
7/3/2018,55.752,89.0549,41.848
8/3/2018,56.469,89.5957,42.305
9/3/2018,58.042,91.5977,43.032
12/3/2018,58.297,91.816,43.448
13/3/2018,56.996,89.5768,43.029
14/3/2018,57.445,89.0454,42.663
15/3/2018,57.531,89.3585,42.714
16/3/2018,56.721,89.757,42.563
19/3/2018,55.003,88.1346,41.913
20/3/2018,54.79,88.3623,41.898
21/3/2018,54.7,87.7456,40.949
22/3/2018,52.658,85.1933,40.37
23/3/2018,51.328,82.7169,39.436
26/3/2018,52.704,88.979,41.308
27/3/2018,50.347,84.8897,40.248
28/3/2018,50.259,84.8138,39.804
29/3/2018,51.857,86.5975,40.115
30/3/2018,51.857,86.5975,40.115
2/4/2018,50.632,83.9883,39.852
3/4/2018,50.934,85.1174,40.26
4/4/2018,51.486,87.6033,41.03
5/4/2018,51.632,87.6507,41.315
6/4/2018,50.498,85.6108,40.258
9/4/2018,51.005,86.1231,40.657
10/4/2018,51.825,88.1251,41.422
11/4/2018,51.253,87.1573,41.229
12/4/2018,51.865,88.7893,41.635
13/4/2018,51.802,88.3149,41.776
16/4/2018,52.305,89.3491,42.037
17/4/2018,53.968,91.1518,42.615
18/4/2018,53.77,91.5028,42.52
19/4/2018,54.473,91.1897,41.315
20/4/2018,53.866,90.1366,39.622
23/4/2018,53.691,90.4687,39.507
24/4/2018,51.132,88.3528,38.957
25/4/2018,51.15,87.5843,39.127
26/4/2018,52.165,89.4345,39.263
27/4/2018,51.573,90.9146,38.809
30/4/2018,50.929,88.7323,39.512
1/5/2018,52.038,90.1366,40.43
2/5/2018,51.302,88.7228,42.216
3/5/2018,51.315,89.2542,42.293
4/5/2018,52.55,90.2884,43.952
7/5/2018,52.973,91.2941,44.27
8/5/2018,52.93,90.9051,44.483
9/5/2018,54.448,91.9773,44.796
10/5/2018,55.274,92.8976,45.437
11/5/2018,55.169,92.6983,45.264
14/5/2018,55.33,93.0115,45.158
15/5/2018,54.244,92.3378,44.748
16/5/2018,54.204,92.5761,45.166
17/5/2018,54.063,91.6517,44.88
18/5/2018,53.482,91.8233,44.717
21/5/2018,54.201,93.0049,45.034
22/5/2018,53.765,92.9096,44.921
23/5/2018,54.298,94.015,45.209
24/5/2018,54.273,93.6814,45.158
25/5/2018,54.204,93.7291,45.262
28/5/2018,54.204,93.7291,45.262
29/5/2018,53.403,93.3956,45.098
30/5/2018,53.874,94.2913,45.002
31/5/2018,55,94.1865,44.851
1/6/2018,56.75,96.0447,45.66
4/6/2018,57.652,96.8833,46.042
5/6/2018,57.551,97.3788,46.397
6/6/2018,57.348,97.6646,46.558
7/6/2018,56.721,96.1304,46.433
8/6/2018,56.636,96.8451,46.01
11/6/2018,57.045,96.2924,45.898
12/6/2018,57.41,96.5402,46.15
13/6/2018,57.212,96.1019,45.77
14/6/2018,58.006,96.645,45.794
15/6/2018,57.963,95.4158,45.324
18/6/2018,59.179,96.1114,45.3
19/6/2018,58.935,96.1114,44.568
20/6/2018,59.204,97.0738,44.762
21/6/2018,58.472,96.3782,44.513
22/6/2018,58.465,95.6826,44.383
25/6/2018,56.964,93.7577,43.723
26/6/2018,56.631,94.4152,44.265
27/6/2018,55.847,92.9477,44.201
28/6/2018,56.339,93.9864,44.522
29/6/2018,56.46,93.9673,44.429
2/7/2018,57.105,95.3014,44.926
3/7/2018,55.814,94.3866,44.143
4/7/2018,55.814,94.3866,44.143
5/7/2018,57.064,95.0632,44.498
6/7/2018,57.754,96.3973,45.115
9/7/2018,58.364,97.0548,45.742
10/7/2018,58.357,97.3121,45.686
11/7/2018,58.573,97.1787,45.094
12/7/2018,60.063,99.2846,45.85
13/7/2018,60.221,100.4662,45.922
16/7/2018,59.826,99.9707,45.821
17/7/2018,60.654,100.9617,45.95
18/7/2018,60.646,100.1708,45.698
19/7/2018,59.955,99.4847,46.054
20/7/2018,59.894,101.2667,45.948
23/7/2018,60.55,102.8866,45.989
24/7/2018,62.908,102.5912,46.322
25/7/2018,63.797,105.612,46.759
26/7/2018,64.275,104.459,46.613
27/7/2018,62.645,102.6103,45.838
30/7/2018,61.502,100.4091,45.581
31/7/2018,61.361,101.0856,45.672
1/8/2018,61.65,101.2762,48.362
2/8/2018,62.057,102.5055,49.776
3/8/2018,61.908,102.9533,49.92
6/8/2018,61.884,103.0391,50.179
7/8/2018,62.792,103.7538,49.709
8/8/2018,63.067,104.3351,49.743
9/8/2018,63.223,104.5066,50.134
10/8/2018,62.626,103.8681,49.984
13/8/2018,62.432,103.1153,50.307
14/8/2018,62.907,104.4018,50.519
15/8/2018,61.611,102.986,50.637
16/8/2018,61.203,102.9669,51.379
17/8/2018,60.793,102.9095,52.405
20/8/2018,61.098,102.2303,51.894
21/8/2018,60.871,101.3789,51.793
22/8/2018,61.088,102.412,51.796
23/8/2018,61.058,102.8903,51.902
24/8/2018,61.838,103.6939,52.063
27/8/2018,62.814,104.8418,52.492
28/8/2018,62.293,105.4731,52.916
29/8/2018,63.233,107.1567,53.706
30/8/2018,62.722,107.0897,54.199
31/8/2018,61.59,107.4532,54.826
3/9/2018,61.59,107.4532,54.826
4/9/2018,60.566,106.8602,55.001
5/9/2018,59.955,103.7799,54.643
6/9/2018,59.2,104.0191,53.735
7/9/2018,58.879,103.5121,53.301
10/9/2018,58.753,104.6313,52.586
11/9/2018,59.5,106.4106,53.915
12/9/2018,58.58,106.8602,53.246
13/9/2018,59.107,108.0081,54.532
14/9/2018,58.899,108.4481,53.913
17/9/2018,57.991,107.2715,52.477
18/9/2018,58.355,108.295,52.564
19/9/2018,58.713,106.8506,52.595
20/9/2018,59.579,108.6394,52.995
21/9/2018,58.606,109.2994,52.424
24/9/2018,58.978,109.6916,53.178
25/9/2018,59.695,109.4812,53.515
26/9/2018,59.703,109.0316,53.089
27/9/2018,60.368,109.4429,54.18
28/9/2018,60.354,109.4047,54.37
1/10/2018,60.427,110.5908,54.737
2/10/2018,60.382,110.1508,55.223
3/10/2018,60.576,110.1699,55.895
4/10/2018,58.854,107.8933,54.912
5/10/2018,58.391,107.2619,54.021
8/10/2018,57.796,106.0375,53.896
9/10/2018,57.259,107.3863,54.643
10/10/2018,54.608,101.5511,52.111
11/10/2018,54.537,101.312,51.651
12/10/2018,56.027,104.8131,53.496
15/10/2018,55.122,102.9286,52.352
16/10/2018,56.654,106.181,53.506
17/10/2018,56.379,105.9036,53.275
18/10/2018,54.896,103.7895,52.029
